year,city,iso,country,region,olympic_type,population,GDP_constant_2010_USD,land_area_km_sq,notes,population_%,GDP_%,land_area_%
1992,Albertville,IND,India,Asia,winter,906021106,497311000000,2973190,,0.2496102124,0.01427235017,0.03960705439
1992,Albertville,IRL,Ireland,Europe,winter,3558430,87780874007,68890,,0.0009803529546,0.002519227147,0.000917711272
1992,Albertville,ITA,Italy,Europe,winter,56797087,1790910000000,294110,,0.01564768509,0.05139740451,0.003917957065
1992,Albertville,JAM,Jamaica,Americas,winter,2465362,11055707510,10830,,0.0006792110343,0.0003172882339,0.0001442707661
1992,Albertville,JPN,Japan,Asia,winter,124229000,4878120000000,364600,,0.03422528115,0.1399973795,0.004856982578
1992,Albertville,PRK,North Korea,Asia,winter,20937404,30454732000,120410,,0.005768287102,0.0008740216872,0.00160402982
1992,Albertville,KOR,South Korea,Asia,winter,43747962,425189000000,96460,,0.01205263102,0.01220251773,0.00128498228
1992,Albertville,LVA,Latvia,Europe,winter,2614338,15036110349,62196,,0.0007202541522,0.0004315219893,0.0008285378179
1992,Albertville,LBN,Lebanon,Asia,winter,2821862,16516154382,10230,,0.0007774273343,0.0004739978378,0.0001362779259
1992,Albertville,LIE,Liechtenstein,Europe,winter,29497,3287936920,160,,0.000008126469005,0.00009436064564,0.00000213142406
1992,Albertville,LTU,Lithuania,Europe,winter,3700114,24745098963,62680,,0.001019387115,0.0007101606787,0.0008349853757
1992,Albertville,LUX,Luxembourg,Europe,winter,392175,27845863938,2590,,0.0001080448175,0.0007991496685,0.00003450242698
1992,Albertville,MEX,Mexico,Americas,winter,88828310,669109000000,1943950,,0.02447233644,0.01920278849,0.02589613627
1992,Albertville,MCO,Monaco,Europe,winter,29863,3759041957,2,,0.00000822730257,0.0001078809097,0.00000002664280076
1992,Albertville,MNG,Mongolia,Asia,winter,2243502,3187216784,1553560,,0.0006180882621,0.00009147007405,0.02069559477
1992,Albertville,MAR,Morocco,Africa,winter,25791494,45330392242,446300,,0.007105596386,0.001300938912,0.005945340989
1992,Albertville,NLD,Netherlands,Europe,winter,15184166,552741000000,33760,,0.004183261158,0.01586313816,0.0004497304768
